uname,mid,roomid,follower,guardNum,cal
小火切_Sumire,2284443,690110,8910,2,-211.38146840252818
_かがみ_镜,43187576,1363311,11160,1,-198.10621564170197
adogsama,317000,10545,107103,80,24.27003334352412
Ask是Asuka,3802666,783445,36886,63,-60.311761741009605
笔笔_BiBiko,472712134,21607261,60364,7,-85.08340540458289
biubiu有颗奶糖,650592442,25035778,2333,15,-283.3386887538413
dodo_Official,1855519979,23945626,177514,163,139.30342165889363
woundedwolf,7805371,7038458,7391,3,-222.23163833543822
hivhhic墨,363357480,13739591,126,1,-482.3797270992763
ICE_氷,411861391,21483704,23570,5,-146.7059182580267
i御十二,607286,757349,466415,104,141.5494901382782
乙夜かろり_karory,674228183,22711598,26181,1,-144.0451624482879
我只是位游客,2369483,3353260,11864,2,-193.22786976595353
keii萤,437786939,21473201,35507,54,-71.72744217953414
kinoko杂菌,351007,5431,37914,3,-118.56899960550425
绝世猛1驹KMK,5494366,2613705,564,3,-385.3575604550231
love-channel,580482351,22219846,84853,1,-69.4939652768038
lvlv,147688,35350,22718,29,-125.0401258938274
鹿子kanoco,26541399,360169,294550,40,48.4091365766194
mikan233,4971404,5107882,536,1,-390.5858941881112
miracle竹夭,17683304,56826,20956,9,-150.1585702145178
萌流mofuu,4249389,22751461,9360,6,-204.2576838954982
ninnikuu,11431931,675014,54357,124,25.27103825520726
炭烧糯米nome,505814286,21839954,1129,3,-341.35584843291144
不能吃的ok酱,1764912,1119304,49766,22,-82.32346524833508
rucaco_official,1745191666,24581097,79783,1,-73.40003283454291
stage1st宅社区,49653129,1522963,5057,2,-247.29128035152905
sana紗那,3461571550382871,26050461,8252,23,-195.2454305762816
神大人_v,190959309,22706788,687,1,-374.8500058731031
sekyota,4882872,570058,23083,3,-150.0296025468906
辻音Rosely,1881110844,25591054,6965,7,-221.9954070140384
shoto_official,1601895109,25245573,1335993,167,271.26875395069237
shourei小N,249118,363889,1563695,209,323.2464414690917
孙有劲Sunyeojin,1869304,6632844,146270,25,-10.97051720033619
szswindy-温宝-,2242273,1429883,26356,22,-122.6227918890628
桃丝缇娅,6915333,5358432,16257,27,-148.25592000755023
vivian198808,1433840,847674,113220,54,1.7913860212472628
ywwuyi,1472906636,22727121,198565,32,15.408470942458393
w丘丘w,88687,449396,6124,16,-221.15385402030188
yakko暗影,175056,653286,117027,1,-49.11185876502998
爱打游戏的yoki酱,35758309,1315354,2070,1,-304.9217336111531
yoyo鹿鸣_Lumi,488836173,25411285,1502466,5,116.71400124604747
云卷涅涅NeNe,2060740799,23644570,3231,4,-273.6933223667269
yy没有_Official,342260186,11935852,819,2,-362.7074690837154
あいうAIU,6193767,25066257,6308,2,-233.27701169154227
神楽七奈Official,386900246,21304638,2024387,8,138.61729328733372
しらたまOfficial,1296113267,22887232,90753,3,-63.23214228201516
しろいぬ,1782710,51296,789,1,-366.0734152583716
德比鲁Official,441666968,21501731,80316,1,-72.97788997485998
ねこれ,1688076885,22865861,23441,24,-128.05386322953098
福山Master,1369335586,23760819,130228,4,-39.33553470208426
Milky_Vtuber,410741448,21399689,34000,50,-78.47705805186786
やみん_Yaming,2103339232,24569032,40774,17,-99.9582861905609
やーちゃん_Ya酱,1377545740,25760587,75244,13,-65.11364237350142
りんうらん霖雨蘭,34815578,23116807,89141,64,-3.368406255109903
AIChannel官方,1473830,1485080,1859013,34,159.21426686410018
电气羊_珂莉黛露,542341668,22636800,7858,12,-209.3471788324931
修女克蕾雅Official,477780496,21656036,138336,4,-35.50625407456948
是水良不是奶良_Official,550611,942178,41285,3,-113.16866363161307
帕里_Paryi,1576121,4895312,462096,14,50.95967143948337
日月咪玉-官方,391614061,21300316,65934,9,-77.48763638920639
田中姬铃木雏Official,296909317,10209381,301745,17,26.939201862820823
叶Official,434563934,21449068,403073,18,46.29574604211109
マ-ほChannel,28821597,482166,411,1,-407.4211902009388
夢乃栞Yumeno_Shiori,372984197,14052636,249171,120,117.80172313880814
异世界情绪,488978908,23601103,120987,2,-46.00200665788418
一Lensama一,871336,30401,1802,9,-305.71223542013087
一个多才多艺的花瓶,1501875279,24653471,13176,29,-159.57794596423605
一千万只拉姆达,394195,14036102,554,1,-388.4917588602222
一口吃掉粥粥,627432065,24199791,33026,46,-84.31980406794605
克噜噜Krul,1726049329,25763040,8351,50,-167.48934138888524
一只机智的兔子icey,10255309,4030121,4508,1,-255.57719731487714
一只清钰,1185300125,25846913,13802,73,-112.63513882935331
一只雏羽喵,21685335,3765619,10550,3,-199.66993579347297
一只雾桃,2059243146,24847382,13077,5,-184.05611072652778
一块电鹿板,471723540,21727410,1337744,10,114.35179384270145
一支橘猫,4365978,193520,192372,32,13.399609928684526
一止小太,437959238,21473740,21088,22,-136.7604716750384
一澄_Izumi,2075874,5192320,22021,35,-121.01573445310737
一点甜233,8628040,5333775,13864,45,-140.35097728952894
一点荧惑,23155481,5461024,56307,58,-38.4943995034356
一颗芽Official,517060084,21970333,49022,27,-78.278449494455
一露Lulu,1247845426,26007751,5937,42,-197.11998454723914
一颗有栖Official,14045966,3709081,11222,15,-183.75496820588785
七个喵Nana,503026492,22696219,45931,44,-65.40762217152928
七代音莉绘,3461572460546094,26056395,10319,12,-192.07354863366368
镜像组的相伴日常,402370331,21291286,3633,4,-266.25859035717576
七咔拉CHikalar,484660274,21706862,25374,64,-83.03014855518552
七夏浅笑,1041460269,22628687,473,3,-396.5133523696115
七海Nana7mi,434334701,21452505,974132,565,649.2417529533593
七海幽娴Official,4280541,454154,4675,1,-253.27098639477526
七濑Unia,353361863,21514463,335590,156,172.6791218947659
七禾いえ,1802654492,23777594,14317,104,-79.31253478575525
七葉琉伊,497677999,21779064,24476,2,-147.31457622147389
万拓普TOP,2072717192,23969425,90554,175,108.62868377471307
万灼,1121411561,22935036,37221,39,-83.73855962316384
三千宫魔王Miya,244069,15802,58025,25,-69.58890674555676
三宝iu,176528442,23086860,29010,74,-64.53990139088046
三日暦Official,571841213,22205953,134891,4,-37.10510466573919
三日月佑Official,2022864237,22861661,9404,1,-208.96034802755855
小马嘟嘟丸,1220672487,25545201,11,1,-636.9734397045834
三雲MIKUMO,4870889,101370,55102,8,-89.86592207940714
上甘玲Official,197,555820,4506,1,-255.60533132909518
上草草Surcao,3461581822233342,26292140,6156,10,-226.82342981961403
上野桃香Official,1059744599,23139731,17877,1,-168.23346618708342
不可食用面包君,3242119,3160112,7554,19,-204.84861929252963
不想加班的朋朋,8828904,602158,27019,45,-98.047658883488
不想睡觉的洗洗,4447907,4076610,13561,12,-174.7519604574244
埃兰奈_Channel,14881818,372428,1681,2,-317.1190619418938
不知原深,1184238527,26526557,157328,264,232.64998408306406
不祈十弦Official,1566230,21276591,18313,5,-162.7057658564638
不稳定发电机,12622108,6653352,245251,163,159.79637464010602
与朵hana,14041583,22256250,1099,1,-345.0633124908104
丑城めうか_Official,1899392933,24041803,10203,1,-203.79028952898568
世弥Yoya,521885,1226214,4480,5,-251.97221416906746
世果-Seika,1155161027,23402969,1554,3,-321.0995505391906
东堂比乃Official,1220621189,22852903,51719,34,-67.88299643829134
东爱璃Lovely,3821157,21692711,179041,418,394.84646490262503
东野凹,121487111,4585823,287234,100,106.81452809109783
东鸟apple,11779171,1024392,14283,6,-177.46327611550942
丝茉茉i,27564630,452138,79274,85,10.19419174961729
两只昔伏流年Twins,289347107,9120595,168,1,-464.1406837058334
丧喵是大笨蛋,18018364,11946834,12661,17,-174.105741391616
丧择乐,480291322,23836281,45,1,-547.6575981485618
中单光一,434401868,21457197,101944,126,67.14014364796003
中原米米子,357672624,22933069,4684,3,-251.14905025290375
乃琳Queen,672342685,22625027,674804,610,670.9660571340028
久伴_Adrenaline,91772566,4715875,900,6,-352.7281720052387
久城忍Sinobu-8-,5430005,25381972,1768,5,-310.9198909812729
久远寺刹那Setsuna,2044905,1469089,6688,5,-226.56835218792833
弭尔焃巴,8978401,882267,25511,17,-129.68875832281526
乌拉の帝国Official,610390,14893,137062,140,99.90716086538794
乔若Anki,1736214473,24255585,7730,40,-182.38841342373496
乔薇学姐,22782703,23999270,14439,36,-146.77457078462476
乙女音Official,406805563,21320551,319529,89,102.56985020294269
九十九_Tsukumo,690608702,22778627,47510,50,-57.264705668926695
九奈猹猹,11416708,23348061,30389,47,-88.59559888014746
九尾茶,214832,755897,4080,10,-252.90176624695368
真夜星宵Official,2474047,92057,898,3,-355.86921766964053
九重紫Official,225347042,9162799,313984,214,226.459969338492
九降,168168915,14690915,20546,1,-159.41127349058831
羊羊录播机,24052681,8763832,11896,4,-191.05709525192458
书沐言,350286202,12257239,16474,2,-172.4152489876243
乾杯君Sennke,219259,3106704,11372,10,-187.91313942632553
二之前十一_C,686340,1473078,1230,6,-332.92361697356625
云团fuwa,392162998,25664253,10014,77,-128.97572249078098
云宝KumoChyan,702355574,23698759,3503,1,-271.56882352927937
云柒柒Official,1037615578,24345009,4122,3,-259.2524555240444
云碗,2136901507,22764086,642,1,-379.1451015460565
我不是云筱Kumo,108465779,8338616,8116,4,-215.29902276004225
云茹Ziena-Official,432253466,22436811,218,1,-447.62301301917176
云路翼Tsubasa,1287031552,22739677,19479,22,-141.7923519094038
云音_YuNi,223690980,14415049,424,3,-403.4468989382939
五丸_Gomaru,1086330105,23502452,26030,35,-110.41188312752206
五彩呆鸟咩Official,16059520,452450,25083,32,-115.76144865452818
五月织姬ctsu,441952268,22014628,168562,341,314.0227351234371
五牙Kiba,529865,1086621,2839,3,-282.8934662796136
井上沧月Tsuki,1329861887,25815214,4771,46,-206.98226957027873
氵鼠包,692611676,22601447,61676,74,-16.720180154535228
阿亚亚Aya,242067082,22503577,4557,17,-238.89178523386977
亚可Ako,601481495,22308209,44567,20,-91.31891632746226
亚琴Aki,1551306539,25406948,3016,2,-280.0590613732945
亚诺斯Official,666953,33502,9539,4,-205.0566743849938
亜朱香,531329531,23520632,5133,12,-236.34555133367678
亮_Sama,412630000,21348897,20673,18,-142.0205883463949
人形冬萌_Tomo,1048861669,22700047,31713,49,-83.89184307430867
人生LING_Channel,29002992,430325,5210,1,-246.40155245701408
人间蜜药,12450452,22262300,101381,105,45.789037869281174
仓仓爱吃牛肉干,272705818,24399819,11227,59,-139.72672641291342
仙女安_,410689349,22054199,22683,69,-85.13787706404753
伊万_iiivan,510047,22333522,570944,26,76.36994241133709
伊什纳Eithna,29032319,7111080,3407,12,-262.3305577202948
伊兹_Iz,2110900767,22700052,56247,19,-77.56199373127868
伊兹不是椅子是IZZ啦,1758397,7760293,1914,2,-308.88933373438215
伊南娜Ishtar,82044006,3237809,53241,50,-50.04417090015045
伊尔比思,104138094,25042360,61287,100,8.878679953375354
伊德琳Edelyn,2144805585,24847419,12598,28,-163.42200159846914
猫猫不吃酱,1758083950,24533172,11794,1,-194.60305050406748
伊月猫凛,10030059,3858888,47324,2,-105.51340160331677
伊深Imi,690608694,22605466,45318,39,-71.25946240346877
伊灵Yukari,59403044,23186788,1520,17,-308.50208008252355
伊索尔Sol,1694610556,25971921,12498,158,-33.927264074995605
伊露露大魔王,36403332,4909229,19098,1,-164.04471396125666
伊芙Eve_,1493178194,23857300,6942,44,-185.2051145468622
ELIA并不是狐狸,401090202,25416093,6817,2,-228.35711949559948
伊莎蓓尔Isabel,11137181,4109869,38041,37,-84.35698439903842
伊莎贝拉Official,666726803,22470189,53460,3,-96.7839180534695
伊丽莎白卡芙琳Channel,414116896,21402364,18547,2,-164.90078488501922
伊莺,11222009,183785,969,1,-353.0448236061254
伊菲不是小火驴,43156010,26427138,6915,128,-101.45218132413243
伊菲露诺_已搬家,2037141,4079654,6487,3,-230.5029842662923
伊蒙IMon,7652319,5532256,11358,18,-179.99123886427026
伊蕾雅Ereya,298217,23285010,12801,16,-174.4085385443227
伊贝可Ibek,146977967,7259379,29454,11,-126.5769107916608
伊邪未名_official,1771138364,23584908,26395,6,-138.52904578186076
伍尔夫拉姆_official,435201473,22491324,897,1,-357.9398583454723
这里是馍君,29488539,147488,9454,21,-188.62415040020835
优莉酱Channel,693803974,23875470,19985,17,-145.1664570093801
会唱歌的粉红猫,22385806,26173394,805,19,-346.8005996116631
伯奇澈屿,1194081839,25618334,2053,15,-291.4445597609996
伴晴orz,148885908,4646524,2200,15,-287.0601186654378
伽罗Gianlo,2899681,720672,4207,1,-259.958377700361
佐久間ねむOfficial,476903292,21666922,42223,1,-113.74432820919344
佐仓•M•沙耶加,72960,18060,106053,169,112.6454153318133
佐保姬夕映-官方WACTOR,1923344666,24393990,16432,5,-169.5770919005272
佐娜Sanya,523922454,22054930,79212,46,-28.85541263437267
佐藤白SatoWhite,2114332408,24024108,10544,5,-197.70600292253891
佑凉Uriyoo,24967030,23369248,27795,35,-106.25243550362813
hondoliya,343015985,23065750,2021,1,-306.44055471661045
你的可樱已上线,720964,1521498,343756,76,94.20338004137318
梦云鹿,12580217,6363297,1097,4,-342.1787952185504
迟叶Oku,7341215,1552519,9573,24,-184.8310985924012
佩内洛珀-克莱因Official,491979247,21768293,182232,18,-4.03352523582123
佩希蒙Channel,1177051282,23337191,11650,5,-191.38190349979004
佳澄Kasumi,314513297,21675404,3715,12,-256.84350711657214
來夢Raimu,2519929,1930660,7630,20,-203.21394592074296
依久奈Channel,2277475,685701,582,1,-385.36577361382683
信使akane,738406,1342068,39030,12,-107.7297564649266
修伊Huey,18214288,12267464,12926,2,-187.79244942683192
倾澜Chiram,31909735,488283,19829,29,-133.66328981263575
健屋花那_Official,666726798,22470179,122265,11,-36.33581731093136
偷偷Toi,397244810,22661866,11730,5,-190.9480266995472
傲丙初Official,48732146,3710729,830,2,-361.8616105698732
我是元七七同学,550457147,22392120,14604,8,-174.05418290803163
元气嘻嘻欢,1328664579,24930226,3138,17,-262.5449848292251
元気少女蘑菇橙,1876274,188693,692,1,-374.3902504138398
克克_Keke,690608711,23550784,13534,12,-174.87831591537633
克拉丽莎阿瑞雅official,100407541,22727937,2587,3,-288.78668484940573
克拉拉KiraraV,501280,6562109,6347,22,-212.88624000796983
克洛伊_Valkyrie,1249759353,25569279,14359,12,-171.12681837453658
兎奇Toki,13619728,25095587,25630,12,-134.39370685269546
兔子灯灯灯灯,3542902,7678442,413,1,-407.1134226062705
尤礼睡饱饱w,1677271465,23319833,12318,18,-174.84700941194092
兔晶千穗_Qiho,1661638690,25932291,19333,118,-46.26934065831938
兔田包包,98874115,22814749,9505,25,-184.28305563791162
兔眠可可,1096034982,24978909,62722,186,96.3460421799806
兔美三天吃一顿,23657606,26345216,1280,11,-325.3973863716738
兔萝YOKA,493252584,22893416,3110,2,-278.1132344720141
入間綠,1531227247,24402048,8962,33,-180.012532715058
八万_80K,16343250,23778104,6171,6,-230.66913429444435
八木迪之,480675481,21696929,51949,9,-92.60167483614543
八桦蜂吻Channel,1979294609,24698426,64405,26,-61.97518880416612
八阳HachiYou,47831360,22566152,3722,1,-267.72415788138073
莎莎不知道,25397402,2436830,15850,2,-174.86336899203593
兮子cc,194326389,6203304,268408,89,91.51670525932911
兰悠悠yoyo,4644514,21312461,531,2,-390.1800878532611
兰笛Saku,381439252,23031625,34350,7,-120.82774732895871
兰音Reine,698029620,22696653,1254686,224,324.28790006252257
关于莓芙可的一切,22612759,4375197,4900,12,-239.29080330814122
内德维德,90873,5424,114513,278,226.51132630997733
冥冥meichan,45502,22650610,555346,2262,2310.613775828735
冬妮娅Tonia,374444,711095,968,1,-353.11028566666505
冬守雫_Official,1822964640,23816557,119510,1,-47.78075215021727
冬日不要酱子,325907302,22404898,17570,67,-103.33168531311549
冬月の北极猫,25644004,3080147,28938,5,-133.6974496185685
冬雪沫沫,12945093,497517,89995,41,-25.763904533659
冰兔w,1330766232,24137142,87206,4,-64.7597984972798
冰凌凌凌,1438537391,24317964,14996,1,-179.3748414839422
冰奶茶Official,505794,11312,13094,16,-172.9737447373343
冰淇柠QAQ,599254182,23246975,14955,35,-145.54841843453937
冰箱旅人,1518831,24156153,918,1,-356.4726854346609
冰雪的次元酱,25395147,3565513,667,4,-373.7231110889495
沙月ちゃん,128912828,4767523,72962,51,-29.066198076186765
凉宫雨Ame,134637395,23188396,44761,125,13.956464725230148
凉星狸子Official,2790405,212890,4776,11,-241.91586126840753
凉米饭Channel,67246581,21711976,44722,59,-52.09879940665098
凛-阿格里亚斯,2650919,3525213,280225,153,158.2482714983813
凛喵喵_official,36450968,896766,24754,12,-136.59853367226208
凛宫鸢_Official,18148734,1557982,2183,7,-295.5519303947336
凜凜蝶凜,1220317431,25290861,18424,40,-127.32264140886696
凤玲天天Official,623441609,22347045,116727,18,-32.274594037519364
凪紗nagisa,1704351924,24011284,7337,8,-217.69655079353277
凯恩_Cain,36677,139372,20640,7,-153.12187367764534
凰清音_Kouseion,1051422690,23057582,8931,5,-208.23221661004163
刀客塔弟DoctorD,12867370,1871109,15518,5,-173.20547470662302
分华至夏Channel,572274,702258,1034,2,-347.92855050866507
切茜娅CheIsea,632960,1944820,242886,269,265.1820300063964
羽生初云_cloud,130097809,12476524,762,3,-366.2809883694666
初小雨-ovo,3493089744259405,26540437,563,20,-368.4700715759436
初焰Hatsuhomura,431473020,21426806,53618,15,-84.59681692587878
这个初霁就是逊啦,12818595,4008247,951,9,-346.2336084346223
初霜Shimo,743603,3831672,11734,9,-186.92641060660003
初鹿野乐Raku,485231759,21838119,26740,15,-128.7057350684138
利泽特Lizette,2036015357,22776501,9826,1,-206.1772907130072
利维Official,595407556,22376018,35861,1,-124.0984828681477
利维与桑Rivi,102819798,7549280,334,1,-420.57366104527716
别抢我橘子好嘛QAQ,10591930,250050,3022,2,-279.9330593444078
劉俊朗,28677456,2652387,49496,48,-56.668371500833814
加加゛,1506609,37801,234979,14,8.083740499136411
勺Shaun,666726801,22470208,291463,31,38.74117320248388
勾檀Mayumi,690608693,22778610,138510,90,50.57344078432368
包子侯爵,894610,109860,1966,2,-307.1898505351691
