,id,name,value,category,mid,roomid,uname,sign,title,area_p,area,tags
96,122,莞儿睡不醒,3254,3,1875044092,25512476,莞儿睡不醒,天才小厨娘也要做偶像！,乐华娱乐旗下虚拟女团企划EOE组合成员,虚拟主播,虚拟主播,
97,56,露米Lumi_Official,4684,7,2000609327,25977291,露米Lumi_Official,姐姐说过，我的歌声中闪耀着光，就叫Lumière露米吧。,,虚拟主播,虚拟主播,
98,90,雪绘Yukie,3870,1,56748733,21756924,雪绘Yukie,虚拟艺人团体VirtuaReal成员，法之律者桃濑雪绘~商务合作：bd@vrp.live,bilibili 直播高能主播,虚拟主播,虚拟主播,"Vtuber,雪绘Yukie,虚拟主播"
99,38,雫るる_Official,10470,2,387636363,21013446,雫るる_Official,对不起我是天才 合作联系sizukululu@gmail.com 粉丝群在置顶文章里 ,bilibili 直播高能主播,电台,聊天电台,
100,123,凛-阿格里亚斯,2172,4,2650919,3525213,凛-阿格里亚斯,直播禁言通知群1035695532！,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,
101,85,早稻叽,7462,1,1950658,41682,早稻叽,<ChaosLive>励志给人类带来幸福的光之恶魔✨❤微博@纯白早稻叽✨商务合作请戳：911998640,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"VTUBER,VUP,虚拟主播,歌姬,早稻叽,虚拟UP主"
102,82,明前奶绿,7203,3,2132180406,25034104,明前奶绿,海浪会来，生活总会继续。商务联系：suibian1111111@outlook.com,,虚拟主播,虚拟主播,
103,126,早凉,2280,1,518817,5169315,早凉,个猫势vup 来自异世界的天才机器猫 是喜欢唱歌的闪光虚拟胖丁 ｜网易云@早凉 合作请私信 ｜总有人是要成功的 那为什么不能是我,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"鸽手,vup,机器猫,虚拟主播,虚拟胖丁,天才"
104,65,小柔Channel,6287,1,1734978373,22696954,小柔Channel,虚研社二期生小柔（ρ），自主型柔情三语歌唱AI，梦想成为超棒的歌手！愿歌声治愈你的心。合作/联动请发3034874932@qq.com,bilibili 知名虚拟UP主、直播高能主播,电台,聊天电台,小柔Channel
105,127,黑泽诺亚NOIR,2987,7,922573,251015,黑泽诺亚NOIR,隶属@幻想社Fantas1A的恶堕修女，本体是一条白色猪鼻蛇，歌势Vup，商业合作请联系QQ：2221142014 ,bilibili 知名虚拟UP主,虚拟主播,虚拟主播,
106,124,塔克Tako,5430,4,9066351,21737386,塔克Tako,hOuOu虚拟艺人团体成员。全地要放声高呼，要击鼓，跳舞，要享乐，要歌。商务：houou_project@163.com,bilibili 直播高能主播,虚拟主播,虚拟主播,"虚拟主播,Vup,虚拟UP主,唱见"
107,125,KB呆又呆,14100,6,389088,1010,KB呆又呆,家有短腿爱好游戏！合作邮箱BD@gamefire.cn ，qq670359047,2021年度巅峰主播、bilibili 知名UP主、直播高能主播,单机游戏,独立游戏,"1010,KBDYDNB,KBDYD"
108,60,瓶子君152,16560,5,730732,42062,瓶子君152,各位点个关注再走呗 商务合作联系vx/qq：787658276,bilibili 2020百大UP主、知名UP主,电台,聊天电台,"DOTA2,英雄联盟,CSGO"
109,106,神楽Mea_NHOTBOT,4590,2,349991143,12235923,神楽Mea_NHOTBOT,,bilibili 知名UP主、直播高能主播,虚拟主播,虚拟主播,"神乐Mea,虚拟主播,Vtuber"
110,129,小铃久绘Official,2185,1,1875094289,22754458,小铃久绘Official,甜品店打工猫娘，个人势vup兼职中!  ✿绘友群：795656840 ✿录播&二创：久绘猫娘咖  ✿合作请私信～,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"VUP,虚拟主播,vtuber,小铃久绘"
111,131,v猫诺v,2775,34,70070,308543,v猫诺v,直播间:https://live.bilibili.com/308543每天12:30播到晚上9点左右啦,bilibili 知名游戏UP主、直播高能主播,单机游戏,主机游戏,"单机游戏,主机游戏,空洞骑士,勤劳喵喵,快乐勤劳,肉鸽"
112,133,成都AG超玩会丶久诚,4303,11,578768928,23919384,成都AG超玩会丶久诚,成都AG超玩会中路选手，点点关注呗~,王者荣耀成都AG超玩会职业选手久诚,手游,王者荣耀,
113,134,奈姬niki,3720,1,3035105,3415150,奈姬niki,每天都直播！wb： 奈姬niki加油努力,bilibili 知名虚拟UP主、直播高能主播,虚拟主播,虚拟主播,"vup,vtb,虚拟主播,可爱,清楚"
114,135,Fulgur-Official,6838,18,1281805827,25734481,Fulgur-Official,Do you read me? Fulgur Ovid Here. ,,虚拟主播,虚拟主播,
115,128,泛式,17580,5,63231,33989,泛式,谢谢你喜欢我的视频 | 微博: @泛式 | 淘宝店: 泛式的泛卖屋,bilibili 2021百大UP主、知名UP主、直播高能主播,电台,聊天电台,"泛式,视频聊天,聊天电台,明日方舟,原神,动漫"
116,137,黑桐谷歌,4170,22,43536,1029,黑桐谷歌,狸师傅  邮箱: 852236312@qq.com,bilibili 2019百大UP主、直播高能主播,单机游戏,主机游戏,"黑桐谷歌,最终幻想,生化危机,血源,仁王,死亡搁浅,模拟经营,艾尔登法环"
